name,category,style,price,retailer,image_url,color,product_url
Marina Sofa,sofa,contemporary fabric sofa,144800,Cityro,https://cityro.lk/wp-content/uploads/2024/10/marina.jpg,"gray, black",
Leo Corner Sofa (Leesa),sofa,modern corner sectional sofa,71400,Cityro,https://cityro.lk/wp-content/uploads/2022/12/S18.jpg,"black, red",
Majestic Sofa,sofa,classic upholstered sofa,143100,Cityro,https://cityro.lk/wp-content/uploads/2024/02/mj.jpg,"blue, gray",
Lexus wardrobe,wardrobe,white and woodden color bedroom wardeobe created with finest materials,137500,Cityro,https://cityro.lk/wp-content/uploads/2022/05/5.jpg,,
CKWD019 Wardrobe,wardrobe,simple wooden bedroom wardrobe,65200,Cityro,https://cityro.lk/wp-content/uploads/2024/05/CKWD-023-wm.jpg,,
CKSS003 Coffee Table,coffee table,compact modern living room coffee table with shelve & 2 pocket,13100,Cityro,https://cityro.lk/wp-content/uploads/2022/07/IMG_7529-scaled.jpg,dark brown,
Budget Stool (CBS) CKBJST001,coffee table,"woodden, simple living room coffee table.",6500,Cityro,https://cityro.lk/wp-content/uploads/2022/05/Budget-Table.jpg,,
Sofa Rumi 3+1+1,sofa,modern fabric sofa set,118999,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/Sofa%20Rumi--1776426535.jpg,gray,
Sofa Elina,sofa,contemporary minimalist sofa,149999,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/Sofa%20Elina--1776674681.jpg,beige,
Sofa Vienna 3+1+1,sofa,elegant classic sofa set,99999,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/Sofa%20Vienna--1776675292.jpg,dark brown,
Royal Sofa 3+2+1,sofa,luxury classic sofa set,204509,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/SF-ROYAL-BEIGE--1--1632224599.jpeg,,
Milan 3+1+1 Sofa,sofa,modern Italian-inspired sofa set,78699,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/SF-MILAN-01BROWN--1--1632224594.jpeg,,
York Sofa 3+1+1,sofa,traditional fabric sofa set,145699,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/SF-YORK-BLUE--1--1632224608.jpeg,,
MATRIX L Shape Sofa + Coffee Table,sofa,modern minimalist L-shape sectional,119999,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/SF-MAT-PROMO-1--1733725694.jpg,gray,
Kelly Dressing Table,dressing table,"gray, mordern, stylish bedroom dressing table",81399,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/MF-KELLY-DTO-GR--1--1678950838.jpeg,,
SAMSUNG SIDE BY SIDE 653L refrigerator,kitchen refrigerator,"refrigerator with a sleek side-by-side design, spacious storage, and a contemporary finish suitable for modern kitchens.",519999,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/RS76CG8003S9IG-1--1777007835.jpg,silver,
LF-ROVER-75X60-WN-S,bed,simple wooden single bed,55349,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/LF-ROVER-75X60-WN-S-01.webp,,
WF-BRN-BDQ-RTK-S,bed,modern queen bed with headboard,84689,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/WF-BRN-BDQ-RTK-S-01-20241112.webp,dark brown,
LF-ORGN-BDQ-WHT,bed,minimalist white queen bed,119999,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/LF-ORGN-BDQ-WHT-01.webp,,
LF-BUDGET-SINGLE-WN-S,bed,walnut color budget single bed,29999,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/LF-BUDGET-SINGLE-WN-S-01.webp,,
LF-ROVER-3DMW-WN-S,wardrobe,3 door rover wardrobe with mirror-walnut,71729,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/LF-ROVER-3DMW-WN-S-01.webp,,
LF-FLO-ST-WO-S,dressing stool,"white oak, florida dressing stool",7109,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/LF-FLO-ST-WO-S-01.webp,,
LF-FLO-DT-WO-S,dressing table,florida dressing table with white oak,53099,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/LF-FLO-DT-WO-S-01.webp,,
WFI-BOSHWELL-CHR-S,dining chair,"boshwell dining chair, 4 seats, buttermilk, morden, stylish",21675,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/WFI-BOSHWELL-CHR-S-01.webp,,
WF-YORK-TBL-S,dining table,simple woddern dining table,64349,Singer,https://singerwebcdn.azureedge.net/resources/products/normal/WF-YORK-TBL-S-01-20240827.webp,,
Florence Bed,bed,"Elegant upholstered double bed with a simple modern design, soft headboard, and neutral finish suitable for contemporary bedroom interiors.",44400,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdkX2e1AczZSBe4wISAZUnfS53YdPltMUmlwOBV8ybhQ&s,dark brown,
Beverly Bed,bed,Single bed design with a humble presentation. Strong structure specialized for even weight distribution will give you a lasting product with an exemplary finish.,37475,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLVtVE8iJgD1y5tHWqH0bgwm_ah5NWN1dqqvhD2oYQaQ&s,mahogany,
Avron Bed,bed,"Simple single bed, solid wood frame with a neatly coloured finish will bring satisfaction at best.",32300,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLSOM49AOENCotJ5Y-Dij0am2tEsdoaQpi-NJrMUDhWA&s,,
Liyara Bed,bed,Double bed with scratch resistant melamine faced design.,46175,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHFViQTN_FSa6tfpReR0INMKtWNv0dlqKZWOGqf83eEQ&s,mahogany,
Ornate Bed,bed,"Modern, simple yet attractive queen size bed design with top range materials",70775,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReygBvqch6XgbRgc-TImQHMGRi2FOOvsH4BWGV3i7fLA&s=10,dark brown,
Liyara Bedside Rack,bedside cupboards,Handy stand made of easy to clean wooden color scratch resistant materials to hold a night lamp just beside your bed.,5575,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpZbXukv6z1j5LsTDakK78uK_5Id82GZUDiOk0vHMT9Q&s,,
Winchester Bedside Cupboard,bedside cupboards,Shiny chrome accented bed side beauty to hold a great piece of night lamp in the perfect height.,13875,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPBiqD6N4JaMGgH-JD75KkxV-c0xxe8qIMZXvLn1NmZQ&s=10,dark brown,
Beverly 2 Door Wardrobe,wardrobe,Fine door design made out scratch resistant melamine finish with lasting hinges together with spacious shelves and a drawer will improve neatness.,45975,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKqRHhsgRUzbDWHMC80xETPUg4Rv_m8mzDOTKlll4JvA&s,walnut,
Liyara 2 Door Wardrobe,wardrobe,Scratch resistant melamine faced structure will ensure durability whereas large handles will encourage effortless operation,51500,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1Svv0iQsGdKBYistdV5X3DuudSUgWfgUqPg1697yp8A&s=10,walnut,
Liyara 3 Door Wardrobe,wardrobe,Scratch resistant melamine faced 3 door wooden color wardrobe that caters for tight spaced rooms.,75700,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZ190aDtc0MAo9n6fxatLnw7Lk82VWWFAf_mFYMdJDGQ&s,,
Liyara Dressing Table,dressing table,Enjoy your full reflection with space saving slim touched tall mirror. Designed with scratch resistant materials with improved durability which equips a flush drawer to house your beauty products nicely in place.,25975,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAiOZc6pSg6a-lPijydvDnbAGbKt8f9QS4cSyqeK9gLw&s=10,walnut,
